beta,Tsteps,steps,n_mpi_processes,stepsPerMeasurement,total_updates,total_mean_q,total_max_q,total_mean_sign,total_std_sign,total_mean_A,total_std_A,total_mean_A2,total_std_A2,total_mean_A_tau_A,total_std_A_tau_A,total_mean_A_Eint,total_std_A_Eint,total_mean_A_Fint,total_std_A_Fint,therm_pass_A,therm_pass_A2,therm_pass_A_tau_A,therm_pass_A_Eint,therm_pass_A_Fint,total_elapsed_cpu_time,wall_clock_time,elapsed_time_rank0,elapsed_time_rank1,elapsed_time_rank2,elapsed_time_rank3,elapsed_time_rank4,elapsed_time_rank5
12.2837,100000,1000000,6,10,6000000,1.464125,10.0,0.9997,8.73273141e-05,-0.108287155,0.0114617939,2.68589204,0.0733202438,0.957471188,0.00548877374,13.8116401,0.103309705,18.6251923,0.100638093,0,0,0,1,1,711.217251,124.56564,124.561,115.072,117.372,114.103,119.273,120.835
12.6898,100000,1000000,6,10,6000000,1.52155667,12.0,0.99974,0.000134750832,-0.111239423,0.00983979045,2.78034476,0.0770478831,0.926953022,0.0049680464,13.6370313,0.0927808755,19.2694876,0.0981192481,0,1,1,1,1,757.369795,136.02804,119.426,136.024,117.773,130.695,127.972,125.481
13.0959,100000,1000000,6,10,6000000,1.57312833,10.0,0.999626667,0.00010444302,-0.125038832,0.0112323071,2.67136891,0.0706569426,0.911254314,0.00518854545,14.0098699,0.108051006,20.1870243,0.108421158,0,1,1,1,1,782.22266,133.808882,127.232,133.009,125.601,132.848,129.728,133.804
13.502,100000,1000000,6,10,6000000,1.678515,12.0,0.9998,4.90425964e-05,-0.121219259,0.00983322877,2.70108409,0.0651458508,0.8802711,0.00552657057,14.0919871,0.104416675,20.7984468,0.122804272,0,1,1,1,1,843.302724,153.988822,137.763,138.349,135.757,139.446,153.985,138.003
13.9082,100000,1000000,6,10,6000000,1.73951167,12.0,0.999773333,9.79203658e-05,-0.10880531,0.0100169759,2.67755973,0.0843390396,0.86665022,0.00597791806,14.2174767,0.110913026,21.7454043,0.142636636,0,0,1,0,1,956.377914,188.977611,148.261,152.212,154.192,188.971,158.65,154.091
14.3143,100000,1000000,6,10,6000000,1.80976667,10.0,0.99971,7.62171795e-05,-0.137816997,0.0100595168,2.64187117,0.0559023337,0.832592764,0.005142499,14.326594,0.0948352851,22.1821471,0.127044744,1,1,1,1,1,975.115904,167.043691,159.305,165.564,167.039,159.166,163.283,160.759
14.7204,100000,1000000,6,10,6000000,1.85762167,12.0,0.999756667,6.57639688e-05,-0.136103742,0.0102340869,2.54964368,0.0544773163,0.823019557,0.00530229282,14.4426652,0.0960198343,23.1914948,0.1379138,1,1,0,0,0,1016.50195,177.2944,167.372,170.831,177.29,166.873,167.934,166.202
15.1265,100000,1000000,6,10,6000000,1.93426667,12.0,0.99968,6.70617477e-05,-0.120500072,0.00985614905,2.75753013,0.0648128005,0.804834896,0.00490392743,14.7130642,0.100544927,24.0338337,0.135368152,1,1,1,1,1,1076.20384,193.266151,182.011,169.607,179.609,177.271,174.444,193.262
15.5327,100000,1000000,6,10,6000000,2.02285,12.0,0.99951,0.000149987505,-0.120972038,0.00951336235,2.61868219,0.0589481339,0.783781233,0.00504005475,14.8787123,0.109679034,24.7272442,0.144470111,1,1,1,1,1,1168.77955,218.487486,180.927,188.117,218.483,212.644,184.918,183.691
15.9388,100000,1000000,6,10,6000000,2.084965,14.0,0.999803333,5.16436663e-05,-0.117779654,0.00963327545,2.67984064,0.0691866028,0.769698991,0.00546715498,15.0452349,0.123500257,25.6010624,0.166959729,1,1,1,1,1,1268.11672,235.79858,202.492,199.565,235.795,219.628,206.261,204.376
