lam,wall_time(s)
0.44999999999999996,189.043000
0.44999999999999996,189.128000
0.44999999999999996,189.139000
0.44999999999999996,189.250000
0.44999999999999996,189.265000
0.44999999999999996,189.288000
0.44999999999999996,189.432000
0.44999999999999996,189.481000
0.44999999999999996,189.688000
0.44999999999999996,189.804000
0.44999999999999996,189.868000
0.44999999999999996,190.061000
0.44999999999999996,190.104000
0.44999999999999996,190.147000
0.44999999999999996,190.315000
0.44999999999999996,190.506000
0.44999999999999996,190.689000
0.44999999999999996,190.783000
0.44999999999999996,190.927000
0.44999999999999996,191.072000
0.44999999999999996,191.193000
0.44999999999999996,191.226000
0.44999999999999996,191.290000
0.44999999999999996,191.322000
0.44999999999999996,191.556000
0.44999999999999996,191.597000
0.44999999999999996,191.852000
0.44999999999999996,191.993000
0.44999999999999996,192.412000
0.44999999999999996,204.083000
0.44999999999999996,204.194000
0.44999999999999996,204.364000
0.44999999999999996,204.571000
0.44999999999999996,204.714000
0.44999999999999996,205.979000
0.44999999999999996,206.038000
0.44999999999999996,206.140000
0.44999999999999996,206.356000
0.44999999999999996,206.374000
0.5,211.241000
0.5,212.230000
0.5,212.980000
0.5,213.976000
0.5,214.270000
0.5,214.294000
0.5,214.377000
0.5,214.394000
0.5,214.403000
0.5,214.539000
0.5,214.560000
0.5,214.624000
0.5,214.648000
0.5,214.873000
0.5,214.891000
0.5,214.917000
0.5,214.938000
0.5,214.980000
0.5,215.036000
0.5,215.230000
0.5,215.336000
0.5,215.735000
0.5,216.131000
0.5,216.190000
0.5,216.344000
0.5,216.547000
0.5,216.612000
0.5,219.007000
0.5,248.201000
0.5,251.738000
0.5,260.088000
0.5,260.608000
0.5,260.756000
0.5,263.959000
0.5,264.606000
0.5,268.032000
0.5,268.066000
0.5,272.035000
0.5,279.487000
0.5,282.144000
0.5,282.391000
0.5,285.564000
0.5,285.634000
0.5,285.679000
0.5,285.910000
0.5,286.282000
0.5,286.417000
0.5,292.241000
0.5,295.187000
0.5,295.418000
0.5,295.595000
0.5,295.723000
0.5,295.736000
0.5,295.739000
0.5,295.757000
0.5,295.815000
0.5,295.823000
0.5,295.826000
0.5,295.845000
0.5,295.947000
0.5,295.984000
0.5,296.019000
0.5,296.022000
0.5,296.039000
0.5,296.042000
0.5,296.050000
0.5,296.059000
0.5,296.066000
0.5,296.073000
0.5,296.194000
0.5,296.223000
0.5,296.237000
0.5,296.254000
0.5,296.261000
0.5,296.274000
0.5,296.274000
0.5,296.299000
0.5,296.316000
0.5,296.322000
0.5,296.323000
0.5,296.335000
0.5,296.349000
0.5,296.363000
0.5,296.384000
0.5,296.491000
0.5,296.516000
0.5,296.600000
0.5,296.703000
0.5,296.824000
0.5,296.885000
0.5,297.010000
0.5,297.155000
0.5,298.371000
0.5,299.529000
0.5,300.850000
0.5,302.994000
0.5,309.341000
0.5,318.458000
0.5,324.991000
0.5,401.431000
0.5499999999999999,238.357000
0.5499999999999999,239.433000
0.5499999999999999,245.109000
0.5499999999999999,245.356000
0.5499999999999999,245.619000
0.5499999999999999,246.461000
0.5499999999999999,246.924000
0.5499999999999999,247.219000
0.5499999999999999,247.698000
0.5499999999999999,247.757000
0.5499999999999999,247.817000
0.5499999999999999,247.961000
0.5499999999999999,248.076000
0.5499999999999999,248.171000
0.5499999999999999,248.210000
0.5499999999999999,248.312000
0.5499999999999999,248.376000
0.5499999999999999,248.393000
0.5499999999999999,248.429000
0.5499999999999999,248.448000
0.5499999999999999,248.654000
0.5499999999999999,248.756000
0.5499999999999999,248.776000
0.5499999999999999,248.851000
0.5499999999999999,249.035000
0.5499999999999999,249.368000
0.5499999999999999,249.476000
0.5499999999999999,249.640000
0.5499999999999999,249.824000
0.5499999999999999,249.848000
0.5499999999999999,249.887000
0.5499999999999999,249.908000
0.5499999999999999,249.927000
0.5499999999999999,249.973000
0.5499999999999999,250.022000
0.5499999999999999,250.270000
0.5499999999999999,250.340000
0.5499999999999999,251.038000
0.5499999999999999,251.546000
0.5499999999999999,251.576000
0.5499999999999999,251.733000
0.5499999999999999,252.215000
0.5499999999999999,252.251000
0.5499999999999999,252.454000
0.5499999999999999,252.645000
0.5499999999999999,252.900000
0.5499999999999999,253.178000
0.5499999999999999,253.384000
0.5499999999999999,253.548000
0.5499999999999999,253.714000
0.5499999999999999,254.103000
0.5499999999999999,254.115000
0.5499999999999999,254.626000
0.5499999999999999,257.037000
0.5499999999999999,257.618000
0.5499999999999999,257.669000
0.5499999999999999,258.023000
0.5499999999999999,258.152000
0.5499999999999999,258.180000
0.5499999999999999,258.566000
0.5499999999999999,258.574000
0.5499999999999999,259.575000
0.5499999999999999,259.862000
0.5499999999999999,260.370000
0.5499999999999999,261.089000
0.5499999999999999,262.841000
0.5499999999999999,263.743000
0.5499999999999999,264.359000
0.5499999999999999,265.341000
0.5499999999999999,266.567000
0.5499999999999999,267.635000
0.5499999999999999,268.821000
0.5499999999999999,276.149000
0.5499999999999999,276.597000
0.5499999999999999,280.062000
0.5499999999999999,280.182000
0.5499999999999999,287.285000
0.5499999999999999,290.645000
0.5499999999999999,293.433000
0.5499999999999999,296.003000
0.5499999999999999,298.339000
0.5499999999999999,304.866000
0.5499999999999999,306.690000
0.5499999999999999,309.038000
0.5499999999999999,313.815000
0.5499999999999999,318.514000
0.5499999999999999,327.087000
0.5499999999999999,328.282000
0.5499999999999999,342.891000
0.5499999999999999,343.179000
0.5499999999999999,343.686000
0.5499999999999999,344.018000
0.5499999999999999,344.044000
0.5499999999999999,344.445000
0.5499999999999999,344.587000
0.5499999999999999,344.742000
0.5499999999999999,344.946000
0.5499999999999999,345.100000
0.5499999999999999,346.714000
0.5499999999999999,443.698000
0.6,314.895000
0.6,315.102000
0.6,315.633000
0.6,315.734000
0.6,315.826000
0.6,316.004000
0.6,316.171000
0.6,316.391000
0.6,316.553000
0.6,317.490000
0.6,318.417000
0.6,319.412000
0.6,321.035000
0.6,321.395000
0.6,324.125000
0.6,325.633000
0.6,326.084000
0.6,326.502000
0.6,327.407000
0.6,328.823000
