L,type,beta,wall_time_s
10,FS,1.4814814814814814,2758.1981
10,FS,1.4814814814814814,2654.288
10,FS,1.4814814814814814,2733.5007
10,FS,1.4814814814814814,2638.1668
10,FS,1.4814814814814814,2709.2227
10,FS,1.4814814814814814,2654.8251
10,FS,1.4814814814814814,2744.3282
10,FS,1.4814814814814814,2630.9749
10,FS,1.5384615384615383,2841.8892
10,FS,1.5384615384615383,2899.7496
10,FS,1.5384615384615383,2783.1092
10,FS,1.5384615384615383,2826.3528
10,FS,1.5384615384615383,2763.9651
10,FS,1.5384615384615383,2821.2436
10,FS,1.5384615384615383,2818.8271
10,FS,1.5384615384615383,2880.6465
10,FS,1.5384615384615383,2827.3583
10,FS,1.5384615384615383,2865.5815
10,FS,1.5384615384615383,2825.792
10,FS,1.5384615384615383,2907.8807
10,FS,1.5384615384615383,2751.6869
10,FS,1.5384615384615383,2837.7424
10,FS,1.5384615384615383,2818.441
10,FS,1.5384615384615383,2895.8417
10,FS,1.5384615384615383,2812.4998
10,FS,1.5384615384615383,2868.4732
10,FS,1.5384615384615383,2839.8629
10,FS,1.5384615384615383,2834
10,nomeas,1.176470588235294,1851.6325
10,nomeas,1.176470588235294,1870.6654
10,nomeas,1.176470588235294,1843.5805
10,nomeas,1.176470588235294,1857.5196
10,nomeas,1.176470588235294,1819.4024
10,nomeas,1.176470588235294,1868.8789
10,nomeas,1.176470588235294,1837.9965
10,nomeas,1.176470588235294,1834.7556
10,nomeas,1.176470588235294,1831.7118
10,nomeas,1.176470588235294,1877.4047
10,nomeas,1.176470588235294,1827.0917
10,nomeas,1.176470588235294,1892.2908
10,nomeas,1.176470588235294,1810.1836
10,nomeas,1.176470588235294,1868.7741
10,nomeas,1.176470588235294,1870.686
10,nomeas,1.176470588235294,1871.736
10,nomeas,1.176470588235294,1880.4649
10,nomeas,1.176470588235294,1859.1383
10,nomeas,1.176470588235294,1873.8729
10,nomeas,1.176470588235294,1844.1856
10,nomeas,1.2121212121212122,1924.5375
10,nomeas,1.2121212121212122,1985.4051
10,nomeas,1.2121212121212122,1904.6124
10,nomeas,1.2121212121212122,1975.656
10,nomeas,1.2121212121212122,1933.3785
10,nomeas,1.2121212121212122,1960.9733
10,nomeas,1.2121212121212122,1921.3903
10,nomeas,1.2121212121212122,1945.6001
10,nomeas,1.2121212121212122,1929.2322
10,nomeas,1.2121212121212122,1975.0094
10,nomeas,1.2121212121212122,1926.2815
10,nomeas,1.2121212121212122,1945.7826
10,nomeas,1.2121212121212122,1934.995
10,nomeas,1.2121212121212122,1943.8596
10,nomeas,1.2121212121212122,1944.8733
10,nomeas,1.2121212121212122,1987.2124
10,nomeas,1.2121212121212122,1983.7843
10,nomeas,1.2121212121212122,1952.9255
10,nomeas,1.2121212121212122,1978.6366
10,nomeas,1.2121212121212122,1898.561
10,nomeas,1.25,2044.9432
10,nomeas,1.25,2054.0471
10,nomeas,1.25,2048.8915
10,nomeas,1.25,2044.2152
10,nomeas,1.25,1998.5482
10,nomeas,1.25,2035.2038
10,nomeas,1.25,2013.3904
10,nomeas,1.25,2044.2924
10,nomeas,1.25,2061.517
10,nomeas,1.25,2056.7207
10,nomeas,1.25,2080.749
10,nomeas,1.25,2064.7639
10,nomeas,1.25,2070.9745
10,nomeas,1.25,2034.6134
10,nomeas,1.25,2066.7362
10,nomeas,1.25,2038.6109
10,nomeas,1.25,2069.8665
10,nomeas,1.25,2050.156
10,nomeas,1.25,2080.7575
10,nomeas,1.25,2008.7268
10,nomeas,1.2903225806451613,2185.0985
10,nomeas,1.2903225806451613,2205.6985
10,nomeas,1.2903225806451613,2192.8967
10,nomeas,1.2903225806451613,2173.3373
10,nomeas,1.2903225806451613,2175.9662
10,nomeas,1.2903225806451613,2186.1038
10,nomeas,1.2903225806451613,2174.4047
10,nomeas,1.2903225806451613,2179.6537
10,nomeas,1.2903225806451613,2191.8704
10,nomeas,1.2903225806451613,2192.66
10,nomeas,1.2903225806451613,2207.9256
10,nomeas,1.2903225806451613,2220.0941
10,nomeas,1.2903225806451613,2184.0542
10,nomeas,1.2903225806451613,2193.4571
10,nomeas,1.2903225806451613,2188.9979
10,nomeas,1.2903225806451613,2194.8585
10,nomeas,1.2903225806451613,2198.2382
10,nomeas,1.2903225806451613,2224.4101
10,nomeas,1.2903225806451613,2208.2289
10,nomeas,1.2903225806451613,2195.5464
10,nomeas,1.3333333333333333,2235.8437
10,nomeas,1.3333333333333333,2314.8427
10,nomeas,1.3333333333333333,2243.9406
10,nomeas,1.3333333333333333,2277.2517
10,nomeas,1.3333333333333333,2262.5371
10,nomeas,1.3333333333333333,2313.1802
10,nomeas,1.3333333333333333,2257.4877
10,nomeas,1.3333333333333333,2317.195
10,nomeas,1.3333333333333333,2294.3626
10,nomeas,1.3333333333333333,2318.3008
10,nomeas,1.3333333333333333,2257.0906
10,nomeas,1.3333333333333333,2324.9148
10,nomeas,1.3333333333333333,2258.2876
10,nomeas,1.3333333333333333,2267.4611
10,nomeas,1.3333333333333333,2346.13
10,nomeas,1.3333333333333333,2330.7537
10,nomeas,1.3333333333333333,2347.7035
10,nomeas,1.3333333333333333,2297.5624
10,nomeas,1.3333333333333333,2366.2584
10,nomeas,1.3333333333333333,2254.7428
10,nomeas,1.3793103448275863,2379.7808
10,nomeas,1.3793103448275863,2389.7918
10,nomeas,1.3793103448275863,2324.7707
10,nomeas,1.3793103448275863,2379.5284
10,nomeas,1.3793103448275863,2395.2366
10,nomeas,1.3793103448275863,2348.3421
10,nomeas,1.3793103448275863,2387.2812
10,nomeas,1.3793103448275863,2294.3456
10,nomeas,1.3793103448275863,2339.7416
10,nomeas,1.3793103448275863,2382.3934
10,nomeas,1.3793103448275863,2380.8503
10,nomeas,1.3793103448275863,2359.9697
10,nomeas,1.3793103448275863,2321.8931
