L,type,beta,wall_time_s
10,nomeas,1.3793103448275863,2387.0332
10,nomeas,1.3793103448275863,2324.7994
10,nomeas,1.3793103448275863,2328.7504
10,nomeas,1.3793103448275863,2330.8556
10,nomeas,1.3793103448275863,2369.2323
10,nomeas,1.3793103448275863,2334.3555
10,nomeas,1.3793103448275863,2360.907
10,nomeas,1.4285714285714286,2504.4899
10,nomeas,1.4285714285714286,2571.9905
10,nomeas,1.4285714285714286,2451.9756
10,nomeas,1.4285714285714286,2563.391
10,nomeas,1.4285714285714286,2474.5333
10,nomeas,1.4285714285714286,2553.4002
10,nomeas,1.4285714285714286,2489.8916
10,nomeas,1.4285714285714286,2556.2343
10,nomeas,1.4285714285714286,2516.2488
10,nomeas,1.4285714285714286,2568.1318
10,nomeas,1.4285714285714286,2509.4523
10,nomeas,1.4285714285714286,2545.3302
10,nomeas,1.4285714285714286,2493.3465
10,nomeas,1.4285714285714286,2581.0182
10,nomeas,1.4285714285714286,2581.6563
10,nomeas,1.4285714285714286,2572.4299
10,nomeas,1.4285714285714286,2576.4771
10,nomeas,1.4285714285714286,2567.066
10,nomeas,1.4285714285714286,2557.4093
10,nomeas,1.4285714285714286,2514.0631
10,nomeas,1.4814814814814814,2729.5152
10,nomeas,1.4814814814814814,2634.1107
10,nomeas,1.4814814814814814,2729.8922
10,nomeas,1.4814814814814814,2633.6303
10,nomeas,1.4814814814814814,2746.5004
10,nomeas,1.4814814814814814,2625.1803
10,nomeas,1.4814814814814814,2699.9268
10,nomeas,1.4814814814814814,2638.3706
10,nomeas,1.4814814814814814,2716.0251
10,nomeas,1.4814814814814814,2637.7202
10,nomeas,1.4814814814814814,2730.9556
10,nomeas,1.4814814814814814,2727.2472
10,nomeas,1.4814814814814814,2710.0315
10,nomeas,1.4814814814814814,2723.3841
10,nomeas,1.4814814814814814,2688.608
10,nomeas,1.4814814814814814,2707.6248
10,nomeas,1.4814814814814814,2674.4535
10,nomeas,1.4814814814814814,2687.2782
10,nomeas,1.4814814814814814,2670.5059
10,nomeas,1.4814814814814814,2721.742
10,nomeas,1.5384615384615383,2781.3946
10,nomeas,1.5384615384615383,2860.2115
10,nomeas,1.5384615384615383,2802.3584
10,nomeas,1.5384615384615383,2831.7343
10,nomeas,1.5384615384615383,2808.5924
10,nomeas,1.5384615384615383,2868.6515
10,nomeas,1.5384615384615383,2782.1824
10,nomeas,1.5384615384615383,2845.3375
10,nomeas,1.5384615384615383,2786.7804
10,nomeas,1.5384615384615383,2833.6386
10,nomeas,1.5384615384615383,2773.9675
10,nomeas,1.5384615384615383,2814.7956
10,nomeas,1.5384615384615383,2806.0406
10,nomeas,1.5384615384615383,2867.2968
10,nomeas,1.5384615384615383,2844.3316
10,nomeas,1.5384615384615383,2833.3971
10,nomeas,1.5384615384615383,2894.1116
10,nomeas,1.5384615384615383,2837.9081
10,nomeas,1.5384615384615383,2859.3048
10,nomeas,1.5384615384615383,2833.4734
12,ES,1.176470588235294,3045.3241
12,ES,1.176470588235294,3053.5442
12,ES,1.176470588235294,3151.5231
12,ES,1.176470588235294,3032.1565
12,ES,1.176470588235294,3132.2145
12,ES,1.176470588235294,3045.7953
12,ES,1.176470588235294,3082.521
12,ES,1.176470588235294,3009.1624
12,ES,1.176470588235294,3150.0873
12,ES,1.176470588235294,2999.8132
12,ES,1.176470588235294,3120.339
12,ES,1.176470588235294,3042.88
12,ES,1.176470588235294,3138.0772
12,ES,1.176470588235294,3005.2434
12,ES,1.176470588235294,3112.8572
12,ES,1.176470588235294,2985.0781
12,ES,1.176470588235294,3107.4333
12,ES,1.176470588235294,3015.1015
12,ES,1.176470588235294,3128.5283
12,ES,1.176470588235294,3059.0189
12,ES,1.2121212121212122,3272.3309
12,ES,1.2121212121212122,3238.1179
12,ES,1.2121212121212122,3237.4279
12,ES,1.2121212121212122,3211.7726
12,ES,1.2121212121212122,3325.1252
12,ES,1.2121212121212122,3247.382
12,ES,1.2121212121212122,3252.2777
12,ES,1.2121212121212122,3248.5876
12,ES,1.2121212121212122,3281.9196
12,ES,1.2121212121212122,3204.5045
12,ES,1.2121212121212122,3254.5245
12,ES,1.2121212121212122,3179.9459
12,ES,1.2121212121212122,3268.7542
12,ES,1.2121212121212122,3205.6459
12,ES,1.2121212121212122,3224.9584
