beta,Tsteps,steps,n_mpi_processes,stepsPerMeasurement,total_updates,total_mean_q,total_max_q,total_mean_sign,total_std_sign,total_mean_A,total_std_A,total_mean_A2,total_std_A2,total_mean_A_tau_A,total_std_A_tau_A,total_mean_A_Eint,total_std_A_Eint,total_mean_A_Fint,total_std_A_Fint,therm_pass_A,therm_pass_A2,therm_pass_A_tau_A,therm_pass_A_Eint,therm_pass_A_Fint,total_elapsed_cpu_time,wall_clock_time,elapsed_time_rank0,elapsed_time_rank1,elapsed_time_rank2,elapsed_time_rank3,elapsed_time_rank4,elapsed_time_rank5
5.78571,100000,1000000,6,10,6000000,0.424353333,8.0,1.0,0.0,-0.0535591868,0.00335511527,2.4879556,0.0853818684,1.34450015,0.00666573865,8.48543433,0.0664156847,5.71823875,0.0284739145,1,1,1,1,1,11.974339,2.009161,2.00468,1.99834,1.99258,2.00364,2.0013,1.97379
6.19184,100000,1000000,6,10,6000000,0.477926667,8.0,1.0,0.0,-0.0562673252,0.00309420733,2.58237376,0.0817725077,1.30847257,0.00305256092,8.80930567,0.0509609236,6.37971791,0.0161070686,0,1,1,1,1,13.483049,2.279701,2.26472,2.25726,2.27527,2.1745,2.25989,2.2514
6.59796,100000,1000000,6,10,6000000,0.53854,8.0,1.0,0.0,-0.0632640143,0.00368013207,2.63170401,0.0839698717,1.29626039,0.00526154789,9.37290789,0.0716494975,7.17817433,0.0299730822,1,0,1,1,1,14.328971,2.480101,2.35846,2.3653,2.37566,2.32947,2.42419,2.47588
7.00408,100000,1000000,6,10,6000000,0.594733333,8.0,1.0,0.0,-0.0648268755,0.00347940798,2.6415454,0.152513511,1.26482619,0.00241096119,9.74188666,0.0617805898,7.89286649,0.0184051206,1,1,1,1,1,19.200156,3.238607,3.21818,3.19122,3.23394,3.11787,3.22204,3.2169
7.4102,100000,1000000,6,10,6000000,0.65248,8.0,1.0,0.0,-0.0632646795,0.00305505336,2.51584196,0.0701117781,1.23978987,0.0025312077,9.96585575,0.0463928293,8.65585244,0.0183769821,1,1,1,1,1,20.507678,3.456611,3.43287,3.44039,3.45223,3.4188,3.43721,3.32618
7.81633,100000,1000000,6,10,6000000,0.716603333,8.0,1.0,0.0,-0.0735455515,0.00302224205,2.69210555,0.0822684339,1.21732536,0.00395403649,10.5070782,0.0675959024,9.47226386,0.0309910544,1,0,1,1,1,22.501474,3.821985,3.7623,3.61874,3.75807,3.81788,3.80365,3.74083
8.22245,100000,1000000,6,10,6000000,0.77945,10.0,1.0,0.0,-0.0828070958,0.00332527023,2.70783702,0.0816898269,1.19708766,0.00309275686,11.0049373,0.0760614003,10.314652,0.0274693288,1,1,1,1,1,24.198741,4.098381,4.09441,3.97202,4.00138,4.05979,4.05975,4.0114
8.62857,100000,1000000,6,10,6000000,0.8408,10.0,1.0,0.0,-0.0742261903,0.00331040013,2.50762514,0.0649568406,1.16551819,0.0023617379,11.0326067,0.0491373461,11.0530189,0.0225326853,1,1,1,1,1,25.729955,4.330137,4.26625,4.28746,4.29877,4.32627,4.26824,4.28297
9.03469,100000,1000000,6,10,6000000,0.903746667,10.0,1.0,0.0,-0.0818370329,0.00309177341,2.66742111,0.0714464785,1.14419387,0.00234057152,11.5001398,0.0510654788,11.9180707,0.0247461575,1,1,1,1,1,27.616795,4.631415,4.62752,4.57407,4.61672,4.58777,4.61118,4.59954
9.44082,100000,1000000,6,10,6000000,0.978693333,10.0,1.0,0.0,-0.085305233,0.00301504145,2.65051995,0.0644338904,1.1223981,0.0026038744,11.8729106,0.069016722,12.7754955,0.0291687263,1,1,1,1,1,29.962023,5.139038,4.95359,5.13537,4.9914,4.91668,4.97794,4.98704
9.84694,100000,1000000,6,10,6000000,1.03859,10.0,1.0,0.0,-0.0896576157,0.00318428793,2.64566868,0.0587805079,1.09848278,0.00307257855,12.0985195,0.0651099488,13.6127324,0.0378981041,0,1,1,1,1,31.726749,5.317498,5.3112,5.21304,5.29101,5.30816,5.31354,5.2898
