filename,kind,beta,Tsteps,steps,stepsPerMeasurement,Nbins,nprocs,rank0_time_s,rank1_time_s,rank2_time_s,rank3_time_s,rank4_time_s,rank5_time_s,rank6_time_s,rank7_time_s,rank8_time_s,rank9_time_s,rank10_time_s,rank11_time_s,rank12_time_s,rank13_time_s,rank14_time_s,rank15_time_s,rank16_time_s,rank17_time_s,rank18_time_s,rank19_time_s,rank20_time_s,rank21_time_s,rank22_time_s,rank23_time_s,rank24_time_s,rank25_time_s,rank26_time_s,rank27_time_s,rank28_time_s,rank29_time_s,rank30_time_s,rank31_time_s,rank32_time_s,rank33_time_s,rank34_time_s,rank35_time_s,rank36_time_s,rank37_time_s,rank38_time_s,rank39_time_s,rank40_time_s,rank41_time_s,rank42_time_s,rank43_time_s,rank44_time_s,rank45_time_s,rank46_time_s,rank47_time_s,rank48_time_s,rank49_time_s,total_mean_q,total_max_q,total_mean_sgnW,total_std_sgnW,wall_clock_seconds,total_elapsed_cpu_seconds
tfim_nomeas_beta_1.41034483.out,nomeas,1.41034,1000000,10000000,1000,100,50,69.8271,103.133,105.866,81.4366,99.4633,94.9269,93.6702,85.9851,105.466,103.012,106.721,104.038,105.231,76.5129,90.4639,69.6957,93.6107,101.133,102.432,103.531,96.9046,105.312,95.6257,105.101,90.9559,103.242,106.856,88.1503,101.064,98.9264,104.658,104.519,88.7712,77.1619,102.921,70.1798,103.715,105.801,102.623,103.477,63.5223,87.7273,69.2943,81.6648,90.3649,90.4927,95.2417,76.1976,81.4069,91.7511,8.174008,32.0,1.0,0.0,106.857781,4679.78432
tfim_nomeas_beta_1.47586207.out,nomeas,1.47586,1000000,10000000,1000,100,50,103.069,107.049,97.9555,109.668,102.984,72.7984,103.294,109.78,108.782,103.868,100.992,103.461,109.783,108.188,104.663,108.341,108.897,106.346,108.792,103.22,98.3645,109.518,107.178,102.862,110.468,105.64,105.13,104.114,106.593,107.113,103.881,106.314,92.3525,109.931,109.602,108.086,103.047,105.681,110.211,99.1241,94.9015,87.5085,91.4547,91.9153,98.6759,74.7999,90.9762,82.2064,90.3344,87.6493,8.5499,36.0,1.0,0.0,110.470125,5077.56331
tfim_nomeas_beta_1.54137931.out,nomeas,1.54138,1000000,10000000,1000,100,50,115.023,109.125,112.289,114.688,99.9649,114.564,116.44,105.042,114.923,115.269,106.993,111.865,109.851,113.835,103.482,115.55,115.517,113.459,115.031,115.998,110.181,115.612,113.379,114.439,101.976,114.915,114.882,115.179,107.049,114.41,112.278,110.716,110.798,114.697,110.257,115.807,113.812,110.319,113.311,114.325,100.416,99.7208,103.458,99.3799,102.659,100.016,104.63,78.6628,101.676,98.5634,8.912144,34.0,1.0,0.0,116.441095,5476.43247
tfim_nomeas_beta_1.60689655.out,nomeas,1.6069,1000000,10000000,1000,100,50,110.622,114.926,121.608,117.52,118.891,117.836,115.568,120.574,121.563,117.663,103.738,120.125,117.449,117.399,115.927,112.865,119.532,117.193,117.812,120.136,104.694,118.471,119.81,117.517,117.481,115.892,117.972,119.556,119.165,118.78,118.213,120.361,113.92,119.831,117.513,117.897,120.302,118.46,112.239,114.948,108.628,103.463,107.799,101.661,107.22,104.126,108.781,102.853,109.467,104.451,9.277356,34.0,1.0,0.0,121.609996,5740.41999
tfim_nomeas_beta_1.67241379.out,nomeas,1.67241,1000000,10000000,1000,100,50,118.057,120.96,125.893,116.459,121.882,124.624,122.81,124.586,120.597,122.739,122.57,121.249,121.322,123.695,126.164,125.7,124.556,119.119,124.698,125.368,125.231,124.129,125.274,122.794,124.966,112.861,125.977,125.031,124.016,124.801,119.853,125.39,124.904,124.857,124.607,121.765,125.825,123.847,122.742,125.163,113.103,107.229,111.51,107.433,114.343,108.787,111.236,109.283,112.094,108.589,9.65846,36.0,1.0,0.0,126.166279,6030.68992
tfim_nomeas_beta_1.73793103.out,nomeas,1.73793,1000000,10000000,1000,100,50,129.779,126.218,128.562,130.12,129.285,125.249,126.582,128.43,128.443,128.085,130.648,130.388,129.796,129.387,129.141,125.569,129.567,126.978,129.671,129.211,129.923,127.929,127.604,126.354,127.739,128.91,124.035,125.386,129.938,128.089,127.347,129.886,128.057,130.374,129.668,130.075,129.708,129.754,129.533,128.584,117.939,112.913,118.232,111.243,117.431,112.619,118.452,112.807,118.4,110.569,10.04088,36.0,1.0,0.0,130.64908,6290.60696
tfim_nomeas_beta_1.80344828.out,nomeas,1.80345,1000000,10000000,1000,100,50,134.452,134.365,135.185,134.2,134.418,133.826,133.491,130.773,135.453,133.336,133.708,132.836,134.328,134.45,135.186,132.5,133.659,133.417,133.225,134.2,133.988,135.538,134.012,133.594,131.997,133.312,134.479,133.726,135.061,132.635,133.803,135.113,133.668,134.769,134.097,134.867,134.666,133.831,134.954,135.266,121.496,116.333,122.517,116.751,121.235,115.325,119.043,116.008,121.939,112.802,10.4264,42.0,1.0,0.0,135.539636,6543.83376
tfim_nomeas_beta_1.86896552.out,nomeas,1.86897,1000000,10000000,1000,100,50,138.566,138.974,139.351,138.423,139.502,139.061,138.873,139.686,140.048,139.848,139.265,140.003,140.767,139.152,139.989,138.853,139.169,139.166,137.055,140.048,139.638,139.512,139.873,139.3,137.042,139.363,138.815,139.857,139.285,139.756,138.018,139.856,139.211,139.72,138.765,140.111,140.003,137.415,139.457,136.542,126.114,121.513,127.257,119.427,125.275,121.636,124.047,120.332,124.011,120.588,10.79746,40.0,1.0,0.0,140.768948,6797.53767
tfim_nomeas_beta_1.93448276.out,nomeas,1.93448,1000000,10000000,1000,100,50,144.952,145.254,146.01,144.416,143.823,144.53,144.661,145.166,145.624,144.555,145.436,145.365,147.256,144.313,145.419,144.325,145.273,144.338,145.297,144.416,145.937,144.925,145.1,146.576,145.761,145.088,144.641,144.5,145.575,144.114,144.558,143.616,145.746,145.181,143.739,145.639,145.282,145.092,146.248,145.125,131.43,126.183,130.456,125.443,132.05,125.661,132.182,126.277,132.114,125.862,11.174508,40.0,1.0,0.0,147.257806,7090.52886
tfim_nomeas_beta_2.0.out,nomeas,2,1000000,10000000,1000,100,50,149.299,150.528,151.914,151.338,152.836,150.133,151.285,151.901,151.813,151.332,150.616,150.056,151.931,151.088,150.747,151.81,150.377,150.736,151.449,151.131,151.876,150.692,151.462,151.234,151.292,150.792,150.701,151.076,151.635,150.312,150.239,152.382,152.2,151.247,152.509,151.919,151.695,150.767,151.298,150.854,136.785,131.427,136.934,131.016,137.423,130.744,137.374,131.431,136.915,130.554,11.557056,38.0,1.0,0.0,152.837477,7389.10378
